regime,rho_a,sigma_a,variable,impact,peak_abs,t_peak,cumulative,halflife
INTENSITY_TARGET,0.95,0.01,pie,0.000161776447056061,0.000161776447056061,0,0.000535044050561706,5
INTENSITY_TARGET,0.95,0.01,z,0.00348775004977475,0.00348775004977475,0,0.0541154757490223,NaN
INTENSITY_TARGET,0.95,0.01,u,-4.13144157773715e-10,4.13144157773715e-10,0,-6.41029002101945e-09,NaN
INTENSITY_TARGET,0.95,0.01,pz,-2.11389954152263e-10,2.11389954152263e-10,0,-3.27989824883135e-09,NaN
INTENSITY_TARGET,0.95,0.01,rnom,0.000490231657745976,0.000490231657745976,0,0.00162134560776295,5
INTENSITY_TARGET,0.95,0.02,y,0.0189070703801544,0.0189070703801544,0,0.293359642761209,NaN
INTENSITY_TARGET,0.95,0.02,c,0.00571769172996095,0.00765742831403493,12,0.151244473431562,NaN
INTENSITY_TARGET,0.95,0.02,iv,0.0131613488983549,0.0131613488983549,0,0.141680263348928,10
INTENSITY_TARGET,0.95,0.02,l,0.00145240204907107,0.00145240204907107,0,0.0105975923591771,6
INTENSITY_TARGET,0.95,0.02,mc,0.000451678504621911,0.000451678504621911,0,0.00423680336151988,8
INTENSITY_TARGET,0.95,0.02,pie,0.000323552894112344,0.000323552894112344,0,0.00107008810112363,5
INTENSITY_TARGET,0.95,0.02,z,0.0069755000995495,0.0069755000995495,0,0.108230951498045,NaN
INTENSITY_TARGET,0.95,0.02,u,-8.26288287791854e-10,8.26288287791854e-10,0,-1.28205798477499e-08,NaN
INTENSITY_TARGET,0.95,0.02,pz,-4.22779908304527e-10,4.22779908304527e-10,0,-6.5597964907238e-09,NaN
INTENSITY_TARGET,0.95,0.02,rnom,0.000980463315491953,0.000980463315491953,0,0.00324269121552567,5
TAX_POLICY,0.85,0.005,y,0.00511698791468618,0.00511698791468618,0,0.0413550959847868,6
TAX_POLICY,0.85,0.005,c,0.000921051398677153,0.00110169106857627,5,0.0203566997593254,NaN
TAX_POLICY,0.85,0.005,iv,0.00418835057210071,0.00418835057210071,0,0.0209370872203023,4
TAX_POLICY,0.85,0.005,l,0.000515314930860988,0.000515314930860988,0,0.00169516820404686,4
TAX_POLICY,0.85,0.005,mc,0.000171868003030595,0.000171868003030595,0,0.000780965185758209,4
TAX_POLICY,0.85,0.005,pie,5.69328546968784e-05,5.69328546968784e-05,0,-0.000240824527052541,2
TAX_POLICY,0.85,0.005,z,0.00188784129672931,0.00188784129672931,0,0.0152573856596791,6
TAX_POLICY,0.85,0.005,u,0,2.77555756156289e-17,1,-2.4980018054066e-16,9
TAX_POLICY,0.85,0.005,pz,0,0,0,0,0
TAX_POLICY,0.85,0.005,rnom,0.000172523802111746,0.000172523802111746,0,-0.000729771294098791,2
TAX_POLICY,0.85,0.01,y,0.0102339758293724,0.0102339758293724,0,0.0827101919695742,6
TAX_POLICY,0.85,0.01,c,0.00184210279735419,0.00220338213715243,5,0.0407133995186507,NaN
TAX_POLICY,0.85,0.01,iv,0.00837670114420144,0.00837670114420144,0,0.0418741744406047,4
TAX_POLICY,0.85,0.01,l,0.00103062986172198,0.00103062986172198,0,0.00339033640809364,4
TAX_POLICY,0.85,0.01,mc,0.00034373600606119,0.00034373600606119,0,0.00156193037151608,4
TAX_POLICY,0.85,0.01,pie,0.000113865709393757,0.000113865709393757,0,-0.00048164905410486,2
TAX_POLICY,0.85,0.01,z,0.00377568259345856,0.00377568259345856,0,0.0305147713193585,6
TAX_POLICY,0.85,0.01,u,0,5.55111512312578e-17,1,-5.27355936696949e-16,6
TAX_POLICY,0.85,0.01,pz,0,6.93889390390723e-18,1,-6.93889390390723e-17,10
TAX_POLICY,0.85,0.01,rnom,0.000345047604223492,0.000345047604223492,0,-0.00145954258819692,2
TAX_POLICY,0.85,0.02,y,0.0204679516587447,0.0204679516587447,0,0.165420383939148,6
TAX_POLICY,0.85,0.02,c,0.00368420559470839,0.00440676427430498,5,0.0814267990373022,NaN
TAX_POLICY,0.85,0.02,iv,0.0167534022884029,0.0167534022884029,0,0.0837483488812094,4
TAX_POLICY,0.85,0.02,l,0.00206125972344398,0.00206125972344398,0,0.00678067281618733,4
TAX_POLICY,0.85,0.02,mc,0.000687472012122381,0.000687472012122381,0,0.00312386074303206,4
TAX_POLICY,0.85,0.02,pie,0.000227731418787513,0.000227731418787513,0,-0.000963298108210164,2
TAX_POLICY,0.85,0.02,z,0.00755136518691712,0.00755136518691712,0,0.0610295426387168,6
TAX_POLICY,0.85,0.02,u,0,8.32667268468867e-17,1,-8.60422844084496e-16,11
TAX_POLICY,0.85,0.02,pz,0,6.93889390390723e-18,1,-1.04083408558608e-16,15
TAX_POLICY,0.85,0.02,rnom,0.000690095208446984,0.000690095208446984,0,-0.00291908517639405,2
TAX_POLICY,0.95,0.005,y,0.00472676757580182,0.00472676757580182,0,0.0733399103038006,NaN
TAX_POLICY,0.95,0.005,c,0.00142942293334292,0.00191435706989374,12,0.0378111182177844,NaN
TAX_POLICY,0.95,0.005,iv,0.00329033720091404,0.00329033720091404,0,0.0354200655353438,10
TAX_POLICY,0.95,0.005,l,0.00036310050476368,0.00036310050476368,0,0.00264939799074829,6
TAX_POLICY,0.95,0.005,mc,0.000112919625251395,0.000112919625251395,0,0.00105920082950839,8
TAX_POLICY,0.95,0.005,pie,8.08882224352381e-05,8.08882224352381e-05,0,0.000267522014851251,5
TAX_POLICY,0.95,0.005,z,0.00174387494721823,0.00174387494721823,0,0.0270577366369308,NaN
TAX_POLICY,0.95,0.005,u,0,2.77555756156289e-17,1,-4.71844785465692e-16,17
TAX_POLICY,0.95,0.005,pz,0,6.93889390390723e-18,2,-7.63278329429795e-17,11
TAX_POLICY,0.95,0.005,rnom,0.000245115825561415,0.000245115825561415,0,0.000810672772276755,5
TAX_POLICY,0.95,0.01,y,0.00945353515160363,0.00945353515160363,0,0.146679820607601,NaN
TAX_POLICY,0.95,0.01,c,0.00285884586668583,0.00382871413978736,12,0.0756222364355684,NaN
TAX_POLICY,0.95,0.01,iv,0.00658067440182808,0.00658067440182808,0,0.0708401310706875,10
TAX_POLICY,0.95,0.01,l,0.000726201009527389,0.000726201009527389,0,0.00529879598149657,6
TAX_POLICY,0.95,0.01,mc,0.000225839250502791,0.000225839250502791,0,0.00211840165901644,8
TAX_POLICY,0.95,0.01,pie,0.000161776444870476,0.000161776444870476,0,0.000535044029702281,5
TAX_POLICY,0.95,0.01,z,0.00348774989443645,0.00348774989443645,0,0.0541154732738614,NaN
TAX_POLICY,0.95,0.01,u,0,8.32667268468867e-17,1,-1.19348975147204e-15,15
TAX_POLICY,0.95,0.01,pz,0,6.93889390390723e-18,1,-1.38777878078145e-16,NaN
TAX_POLICY,0.95,0.01,rnom,0.00049023165112283,0.00049023165112283,0,0.00162134554455307,5
TAX_POLICY,0.95,0.02,y,0.0189070703032073,0.0189070703032073,0,0.293359641215202,NaN
TAX_POLICY,0.95,0.02,c,0.00571769173337167,0.00765742827957472,12,0.151244472871137,NaN
TAX_POLICY,0.95,0.02,iv,0.0131613488036562,0.0131613488036562,0,0.141680262141375,10
TAX_POLICY,0.95,0.02,l,0.00145240201905475,0.00145240201905475,0,0.0105975919629932,6
TAX_POLICY,0.95,0.02,mc,0.000451678501005581,0.000451678501005581,0,0.00423680331803267,8
TAX_POLICY,0.95,0.02,pie,0.000323552889741174,0.000323552889741174,0,0.00107008805940534,5
TAX_POLICY,0.95,0.02,z,0.00697549978887285,0.00697549978887285,0,0.108230946547723,NaN
TAX_POLICY,0.95,0.02,u,2.77555756156289e-17,1.38777878078145e-16,1,-2.13717932240343e-15,16
TAX_POLICY,0.95,0.02,pz,0,1.38777878078145e-17,1,-2.56739074444567e-16,17
TAX_POLICY,0.95,0.02,rnom,0.00098046330224566,0.00098046330224566,0,0.00324269108910702,5
